LandType,Price,Neighborhood,Building,Address,Sold Price,Sold Date,Beds,Bath,Living Sq Ft,Parking,Lanai,Pets,Floor,Year,List Date,Days,Condition,Tax,Maint. Fee,Elementary,Junior High,High,Flood Zone,View,Frontage,Flooring
FS,"$825,000 ",West Marina,Gateway Peninsula,211-2 Kawaihae Street D2,"$825,000 ",9/29/2014,3,2.1,"1,850",2,0,Yes,1,1972,8/13/2014,49,Excellent,$259 ,$683 ,,,,Zone X,"Marina/Canal,Mountain","Marina,Waterfront","Ceramic Tile,W/W Carpet"
FS,"$420,000 ",Hahaione-lower,Naniwa Gardens,6750 Hawaii kai Drive 802,"$420,000 ",9/26/2014,1,1,862,1,0,Yes,8,1974,8/6/2014,19,Above Average,$121 ,$553 ,Hahaione,Niu Valley,Kaiser,Zone D,"Coastline,Marina/Canal,Ocean,Sunset",Other,"Ceramic Tile,W/W Carpet"
FS,"$441,600 ",West Marina,Kawaihae Crescent Ea,500 Kawaihae Street F,"$430,200 ",9/26/2014,3,2.1,"1,470",2,0,No,2,1973,7/18/2014,34,Fair,$112 ,$560 ,Hahaione,Niu Valley,Kaiser,Zone D,Garden,Other,"Ceramic Tile,Laminate,Other"
FS,"$685,000 ",West Marina,Moana Kai,7012 Hawaii Kai Drive 1003,"$707,500 ",9/26/2014,3,2.1,"1,651",2,39,Yes,3,2005,8/20/2014,37,Excellent,$178 ,$409 ,Hahaione,Niu Valley,Kaiser,Zone D,None,,"Ceramic Tile,W/W Carpet"
FS,"$719,000 ",West Marina,Colony At The Penins,520 Lunalilo Home Road 6317,"$710,000 ",9/26/2014,3,2,"1,457",2,121,Yes,3,2004,7/9/2014,80,"Above Average,Excellent",$161 ,$803 ,,,,Zone AE,Mountain,Other,"Ceramic Tile,Other,W/W Carpet"
FS,"$578,000 ",Hahaione-lower,Mauna Luan,531 HAHAIONE Street 2-7D,"$565,000 ",9/25/2014,2,2,"1,211",2,0,No,7,1975,7/9/2014,75,Excellent,$124 ,$683 ,Hahaione,Niu Valley,Kaiser,Zone D,"Marina/Canal,Mountain,Ocean,Sunset",,"Ceramic Tile,Hardwood"
FS,"$675,000 ",Kalama Valley,Kalama Kuu,1163 Mokuhano Street B102,"$665,000 ",9/23/2014,3,3,"1,467",2,0,Yes,1,2002,7/16/2014,60,Above Average,$143 ,$572 ,Kamiloiki,Niu Valley,Kaiser,Zone D,Garden,,"Laminate,W/W Carpet"
FS,"$569,000 ",West Marina,Kawaihae Crescent Ea,486 Kawaihae Street B,"$560,000 ",9/19/2014,3,2,"1,300",2,500,No,1,1973,5/9/2014,133,"Above Average,Excellent",$91 ,$560 ,Hahaione,Niu Valley,Kaiser,Zone D,"Garden,Mountain",,Laminate
FS,"$690,000 ",West Marina,Mawaena Kai 1-2-3,7007 Hawaii Kai Drive C15,"$672,000 ",9/19/2014,2,2,"1,012",2,0,Yes,1,1988,2/11/2014,220,Excellent,$141 ,$480 ,Hahaione,Niu Valley,Kaiser,Zone D,"Marina/Canal,Mountain",Marina,"Ceramic Tile,Hardwood,W/W Carpet"
FS,"$525,000 ",West Marina,Colony At The Penins,520 Lunalilo Home Road 6101,"$517,500 ",9/17/2014,1,1,904,2,125,Yes,1,2002,6/17/2014,83,Excellent,$105 ,$521 ,Koko Head,Niu Valley,Kaiser,Zone AE,Garden,,"Ceramic Tile,W/W Carpet"
